PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Couto, Ricardo S.; Martins, Aline C.; Bolson, Monica; Lopes, Rosana C.; Smidt, Eric C.; Braga, Joao Marcelo A.				Martins, Aline C/B-1295-2014; Smidt, Eric C/F-7632-2011	Martins, Aline C/0000-0003-2305-2877; Smidt, Eric C/0000-0002-1177-1682			Time calibrated tree of Dioscorea (Dioscoreaceae) indicates four origins of yams in the Neotropics since the Eocene								BOTANICAL JOURNAL OF THE LINNEAN SOCIETY				188	2			144	160				10.1093/botlinnean/boy052							Article	OCT 2018	2018										24	0	0	0	18	1	25			0024-4074	1095-8339											2018-11-26	WOS:000450047600003		
J	Fuksi, Tomas; Tomasovych, Adam; Gallmetzer, Ivo; Haselmair, Alexandra; Zuschin, Martin				Tomasovych, Adam/HMD-9205-2023; Tomasovych, Adam/C-9623-2010; Zuschin, Martin/M-9951-2016	Tomasovych, Adam/0000-0002-0471-9480; Zuschin, Martin/0000-0002-5235-0198			20th century increase in body size of a hypoxia-tolerant bivalve documented by sediment cores from the northern Adriatic Sea (Gulf of Trieste)								MARINE POLLUTION BULLETIN				135				361	375				10.1016/j.marpolbul.2018.07.004							Article	OCT 2018	2018										14	0	0	0	11	0	14			0025-326X	1879-3363											2018-11-05	WOS:000448094200041	30301048	
J	Githumbi, Esther N.; Mustaphi, Colin J. Courtney; Yun, Kevin J.; Muiruri, Veronica; Rucina, Stephen M.; Marchant, Rob				Githumbi, Esther/ABH-8329-2020; Mustaphi, Colin J Courtney/B-6547-2013	Githumbi, Esther/0000-0002-6470-8986; Mustaphi, Colin J Courtney/0000-0002-4439-2590			Late Holocene wetland transgression and 500years of vegetation and fire variability in the semi-arid Amboseli landscape, southern Kenya								AMBIO				47	6			682	696				10.1007/s13280-018-1014-2							Article	OCT 2018	2018										11	0	0	0	9	0	11			0044-7447	1654-7209											2018-12-28	WOS:000444235400005	29397542	
J	Herzog, Nicole M.; Louderback, Lisbeth A.; Pavlik, Bruce M.								Effects of cultivation on tuber and starch granule morphometrics of Solanum jamesii and implications for interpretation of the archaeological record								JOURNAL OF ARCHAEOLOGICAL SCIENCE				98				1	6				10.1016/j.jas.2018.07.014							Article	OCT 2018	2018										6	0	0	0	2	0	6			0305-4403	1095-9238											2018-10-25	WOS:000447111700001		
J	Khasanov, Bulat F.; Sandlersky, Robert B.				Sandlerskiy, Robert B/L-6363-2016; Khasanov, Bulat/D-7300-2018; Khasanov, Bulat/Y-2371-2019	Sandlerskiy, Robert B/0000-0002-8674-8436; Khasanov, Bulat/0000-0001-6535-9741; Khasanov, Bulat/0000-0001-6535-9741			Does insect induced defoliation affect anatomical structure of oak wood?								DENDROCHRONOLOGIA				51				66	75				10.1016/j.dendro.2018.08.003							Article	OCT 2018	2018										4	0	0	0	3	0	4			1125-7865	1612-0051											2018-09-25	WOS:000444501500007		
J	Klippel, Lara; Krusic, Paul J.; Brandes, Robert; Hartl, Claudia; Belmecheri, Soumaya; Dienst, Manuel; Esper, Jan				Hartl, Claudia/Q-5382-2018; Esper, Jan/O-3127-2018	Hartl, Claudia/0000-0001-9492-4674; Esper, Jan/0000-0003-3919-014X			A 1286-year hydro-climate reconstruction for the Balkan Peninsula								BOREAS				47	4			1218	1229				10.1111/bor.12320							Article	OCT 2018	2018										17	1	0	0	5	0	17			0300-9483	1502-3885											2018-12-28	WOS:000444943600014		
J	Kosiba, Alexandra M.; Schaberg, Paul G.; Rayback, Shelly A.; Hawley, Gary J.				Kosiba, Alexandra/IAQ-7329-2023; Brook, Hubbard/AAD-1112-2022	Kosiba, Alexandra/0000-0001-5362-0842			The surprising recovery of red spruce growth shows links to decreased acid deposition and elevated temperature								SCIENCE OF THE TOTAL ENVIRONMENT				637				1480	1491				10.1016/j.scitotenv.2018.05.010							Article	OCT 1 2018	2018										37	1	0	0	21	0	37			0048-9697	1879-1026											2018-12-28	WOS:000436605400142	29801241	
J	Lin, Sam C.				Lin, Sam/AAE-5236-2020	Lin, Sam/0000-0001-6834-2646			Flake selection and scraper retouch probability: an alternative model for explaining Middle Paleolithic assemblage retouch variability								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	7			1791	1806				10.1007/s12520-017-0496-3							Article	OCT 2018	2018										8	0	0	0	2	0	8			1866-9557	1866-9565											2018-10-01	WOS:000443832000016		
J	Molinari, Chiara; Lehsten, Veiko; Blarquez, Olivier; Carcaillet, Christopher; Davis, Basil A. S.; Kaplan, Jed O.; Clear, Jennifer; Bradshaw, Richard H. W.				Molinari, Chiara/N-1036-2016; Kaplan, Jed O./P-1796-2015; Carcaillet, Christopher/G-1218-2011; Bradshaw, Richard HW/H-8663-2013	Molinari, Chiara/0000-0001-5813-2637; Kaplan, Jed O./0000-0001-9919-7613; Carcaillet, Christopher/0000-0002-6632-1507; Bradshaw, Richard HW/0000-0002-7331-2246; Clear, Jennifer/0000-0002-7588-2576; Lehsten, Veiko/0000-0002-0649-0042			The climate, the fuel and the land use: Long-term regional variability of biomass burning in boreal forests								GLOBAL CHANGE BIOLOGY				24	10			4929	4945				10.1111/gcb.14380							Article	OCT 2018	2018										18	0	0	0	9	0	18			1354-1013	1365-2486											2018-10-01	WOS:000445728800036	29959810	
J	Muller, Antoine; Clarkson, Chris; Baird, Douglas; Fairbairn, Andrew					Fairbairn, Andrew/0000-0002-4004-6957; Muller, Antoine/0000-0003-1646-796X			Reduction intensity of backed blades: Blank consumption, regularity and efficiency at the early Neolithic site of Boncuklu, Turkey								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				21				721	732				10.1016/j.jasrep.2018.08.042							Article	OCT 2018	2018										8	0	0	0	1	0	8			2352-409X												2018-11-27	WOS:000449797000065		
J	Obour, Peter Bilson; Jensen, Johannes L.; Lamande, Mathieu; Watts, Christopher W.; Munkholm, Lars J.				Jensen, Johannes Lund/AAC-2102-2022; Watts, Chris/AAA-2409-2021; Munkholm, Lars Juhl/E-1278-2016; watts, chris/P-6701-2015; Lamandé, Mathieu/E-9988-2016	Munkholm, Lars Juhl/0000-0002-4506-9488; watts, chris/0000-0002-7223-1444; Lamandé, Mathieu/0000-0003-4211-9395; Jensen, Johannes Lund/0000-0002-0415-6665			Soil organic matter widens the range of water contents for tillage								SOIL & TILLAGE RESEARCH				182				57	65				10.1016/j.still.2018.05.001							Article	OCT 2018	2018										31	2	0	0	27	2	35			0167-1987	1879-3444											2018-07-13	WOS:000436651400006	30283161	
J	Piotti, Andrea; Garbarino, Matteo; Avanzi, Camilla; Berretti, Roberta; Motta, Renzo; Piovani, Paolo; Leonardi, Stefano				Garbarino, Matteo/N-4686-2015; Motta, Renzo/B-5542-2008; Piotti, Andrea/C-1304-2009	Garbarino, Matteo/0000-0002-9010-1731; Motta, Renzo/0000-0002-1631-3840; Piotti, Andrea/0000-0002-3324-5325; Avanzi, Camilla/0000-0003-1632-5304			Influence of Spatiotemporal Dynamics on the Fine-Scale Spatial Genetic Structure of Differently Managed Picea abies Stands								FORESTS				9	10					622			10.3390/f9100622							Article	OCT 2018	2018										5	0	0	0	2	0	5				1999-4907											2018-12-28	WOS:000448550700041		
J	Slack, Michael Jon; Law, Wallace Boone; Gliganic, Luke Andrew								Pleistocene settlement of the eastern Hamersley Plateau: A regional study of 22 rock-shelter sites								ARCHAEOLOGY IN OCEANIA				53	3			191	204				10.1002/arco.5163							Article	OCT 2018	2018										6	0	0	0	1	0	6			0728-4896	1834-4453											2018-10-16	WOS:000446425500005		
J	Souto-Herrero, Manuel; Rozas, Vicente; Garcia-Gonzalez, Ignacio				García-González, Ignacio/C-1439-2009; Rozas, Vicente/E-7418-2011; Herrero, Manuel Souto/AAG-7108-2020	García-González, Ignacio/0000-0001-8460-2401; Rozas, Vicente/0000-0003-2048-6864; Herrero, Manuel Souto/0000-0002-9556-7557			Chronologies of earlywood vessels and latewood width disentangle climate drivers of oak growth in a mild oceanic region								DENDROCHRONOLOGIA				51				40	53				10.1016/j.dendro.2018.07.004							Article	OCT 2018	2018										7	2	0	0	6	0	9			1125-7865	1612-0051											2018-09-25	WOS:000444501500005		
J	Stephens, Nicholas B.; Kivell, Tracy L.; Pahr, Dieter H.; Hublin, Jean-Jacques; Skinner, Matthew M.				Skinner, Matthew M/D-1104-2010; Stephens, Nicholas/J-5162-2017	Skinner, Matthew M/0000-0001-8321-3543; Stephens, Nicholas/0000-0002-2838-5606; Hublin, Jean-Jacques/0000-0001-6283-8114			Trabecular bone patterning across the human hand								JOURNAL OF HUMAN EVOLUTION				123				1	23				10.1016/j.jhevol.2018.05.004							Article	OCT 2018	2018										24	1	0	0	21	0	24			0047-2484	1095-8606											2018-09-26	WOS:000444665300001	30072187	
J	Wright, Micah; Sherriff, Rosemary L.; Miller, Amy E.; Wilson, Tammy				Sherriff, Rosemary/ABD-3928-2020				Stand basal area and temperature interact to influence growth in white spruce in southwest Alaska								ECOSPHERE				9	10					e02462			10.1002/ecs2.2462							Article	OCT 2018	2018										19	1	0	0	16	0	19			2150-8925												2018-11-22	WOS:000449566200003		
J	Hobley, Eleanor; Steffens, Markus; Bauke, Sara L.; Koegel-Knabner, Ingrid				Steffens, Markus/C-3268-2012; Hobley, Eleanor/AAK-8465-2021; Kögel-Knabner, Ingrid/A-7905-2008	Steffens, Markus/0000-0002-2593-0971; Hobley, Eleanor/0000-0001-8887-0534; Kögel-Knabner, Ingrid/0000-0002-7216-8326; Bauke, Sara Louise/0000-0003-2284-9593			Hotspots of soil organic carbon storage revealed by laboratory hyperspectral imaging								SCIENTIFIC REPORTS				8						13900			10.1038/s41598-018-31776-w							Article	SEP 17 2018	2018										44	0	0	0	25	0	44			2045-2322												2018-12-28	WOS:000444762700030	30224656	
J	Bell, Benjamin A.; Fletcher, William J.; Ryan, Peter; Seddon, Alistair W. R.; Wogelius, Roy A.; Ilmen, Rachid				Wogelius, Roy A/C-4917-2008	Fletcher, William/0000-0001-8918-0690; Bell, Benjamin/0000-0002-0899-9280; Seddon, Alistair/0000-0002-8266-0947			UV-B-absorbing compounds in modern Cedrus atlantica pollen: The potential for a summer UV-B proxy for Northwest Africa								HOLOCENE				28	9			1382	1394				10.1177/0959683618777072							Article	SEP 2018	2018										7	1	0	0	7	0	7			0959-6836	1477-0911											2018-09-12	WOS:000443315700002		
J	Bos, Johanna A. A.; Gelorini, Vanessa; van der Meeren, Thijs; Peleman, Jolien; Court-Picon, Mona; Demiddele, Hendrik; De Smedt, Philippe; Boudin, Mathieu; Verniers, Jacques; Boeckx, Pascal; Crombe, Philippe				De Smedt, Philippe/J-9789-2012	De Smedt, Philippe/0000-0002-7230-4965; Crombe, Philippe/0000-0002-4198-8057			The Younger Dryas and Preboreal landscape in the Moervaart area (northwestern Belgium) and the apparent decrease in human occupation								VEGETATION HISTORY AND ARCHAEOBOTANY				27	5			697	715				10.1007/s00334-017-0666-3							Article	SEP 2018	2018										5	0	0	0	3	0	5			0939-6314	1617-6278											2018-12-28	WOS:000440822100004		
J	Britton, K.; McManus-Fry, E.; Cameron, A.; Duffy, P.; Masson-MacLean, E.; Czere, O.; Smith, N.; Stones, J.; Winfield, A.; Muldner, G.				Britton, Kate/A-3654-2010	Masson-MacLean, Edouard/0000-0001-5789-6846			Isotopes and new norms: Investigating the emergence of early modern UK breastfeeding practices at St. Nicholas Kirk, Aberdeen								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	5	SI		510	522				10.1002/oa.2678							Article	SEP-OCT 2018	2018										14	0	0	0	3	0	14			1047-482X	1099-1212											2018-11-02	WOS:000447854700004		
J	Dibble, Harold L.; Lin, Sam C.; Sandgathe, Dennis M.; Turq, Alain				CABAH, ARC/T-6419-2019; Lin, Sam/AAE-5236-2020; Lin, Sam C/F-6474-2012	Lin, Sam/0000-0001-6834-2646; 			Assessing the Integrity of Older Archeological Collections: an Example from La Ferrassie								JOURNAL OF PALEOLITHIC ARCHAEOLOGY				1	3			179	201				10.1007/s41982-018-0010-1							Article	SEP 2018	2018										2	0	0	0	1	0	2				2520-8217											2018-09-01	WOS:000668936600001		
J	Dite, Daniel; Hajek, Michal; Svitkova, Ivana; Kosuthova, Alica; Soltes, Rudolf; Kliment, Jan				Hájek, Michal/H-1648-2014; Kosuthova, Alica/HOH-9548-2023; Svitková, Ivana/U-3230-2018	Hájek, Michal/0000-0002-5201-2682; Kosuthova, Alica/0000-0001-5991-7444; Svitková, Ivana/0000-0002-5671-0330			Glacial-relict symptoms in the Western Carpathian flora								FOLIA GEOBOTANICA				53	3	SI		277	300				10.1007/s12224-018-9321-8							Article	SEP 2018	2018										25	0	0	0	22	0	25			1211-9520	1874-9348											2018-09-01	WOS:000449764100004		
J	Dorsey, Brian L.; Gregory, Timothy J.; Sass, Chodon; Specht, Chelsea D.				Specht, Chelsea D/E-8545-2010				Pleistocene diversification in an ancient lineage: a role for glacial cycles in the evolutionary history of Dioon Lindl. (Zamiaceae)								AMERICAN JOURNAL OF BOTANY				105	9			1512	1530				10.1002/ajb2.1149							Article	SEP 2018	2018										15	0	0	0	14	1	15			0002-9122	1537-2197											2018-10-01	WOS:000444797500009	30229556	
J	Heitkoetter, Julian; Marschner, Bernd				Marschner, Bernd/X-3498-2018	Marschner, Bernd/0000-0002-4109-1282; Heitkotter, Julian/0000-0002-7989-2173			Soil zymography as a powerful tool for exploring hotspots and substrate limitation in undisturbed subsoil								SOIL BIOLOGY & BIOCHEMISTRY				124				210	217				10.1016/j.soilbio.2018.06.021							Article	SEP 2018	2018										26	4	0	0	25	0	30			0038-0717												2018-12-28	WOS:000444358200025		
J	Leys, Berangere A.; Marlon, Jennifer R.; Umbanhowar, Charles; Vanniere, Boris				Vannière, Boris C/E-4002-2010	Vannière, Boris C/0000-0002-6779-6053; Leys, Berangere/0000-0001-5485-0156; Marlon, Jennifer/0000-0002-8299-9609			Global fire history of grassland biomes								ECOLOGY AND EVOLUTION				8	17			8831	8852				10.1002/ece3.4394							Article	SEP 2018	2018										36	2	1	0	20	0	38			2045-7758												2018-09-01	WOS:000445606000017	30271549	
J	O'Sullivan, Niall; Posth, Cosimo; Coia, Valentina; Schuenemann, Verena J.; Price, T. Douglas; Wahl, Joachim; Pinhasi, Ron; Zink, Albert; Krause, Johannes; Maixner, Frank				Pinhasi, Ron/AAT-1531-2020; Krause, Johannes/AFP-2642-2022; Posth, Cosimo/AAL-6219-2021; Maixner, Frank/AAY-7033-2020; Zink, Albert/P-4024-2015	Pinhasi, Ron/0000-0003-1629-8131; Krause, Johannes/0000-0001-9144-3920; Zink, Albert/0000-0002-1461-747X; Maixner, Frank/0000-0003-2846-8994			Ancient genome-wide analyses infer kinship structure in an Early Medieval Alemannic graveyard								SCIENCE ADVANCES				4	9					eaao1262			10.1126/sciadv.aao1262							Article	SEP 2018	2018										18	0	0	0	13	0	18			2375-2548												2018-11-15	WOS:000449224000001	30191172	
J	Onorevole, Kathleen M.; Thompson, Suzanne P.; Piehler, Michael F.				Piehler, Michael/C-3844-2011	Piehler, Michael/0000-0003-3881-4862			Living shorelines enhance nitrogen removal capacity over time								ECOLOGICAL ENGINEERING				120				238	248				10.1016/j.ecoleng.2018.05.017							Article	SEP 2018	2018										19	0	0	0	16	0	19			0925-8574	1872-6992											2018-12-28	WOS:000444614500028		
J	Perry, George L. W.; O'Sullivan, David					Perry, George/0000-0001-9672-9135			Identifying Narrative Descriptions in Agent-Based Models Representing Past Human-Environment Interactions								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			795	817				10.1007/s10816-017-9355-x							Article	SEP 2018	2018										8	0	0	0	0	0	8			1072-5369	1573-7764											2018-12-28	WOS:000440035800006		
J	Pomeroy, Emma; Mushrif-Tripathy, Veena; Wells, Jonathan C. K.; Kulkarni, Bharati; Kinra, Sanjay; Stock, Jay T.				Stock, Jay/B-6453-2011; Kulkarni, Bharati/ABB-3188-2020	Stock, Jay/0000-0003-0147-8631; Kulkarni, Bharati/0000-0003-0636-318X; Pomeroy, Emma/0000-0001-6251-2165; Mushrif-Tripathy, Veena/0000-0002-4749-1316			Stature estimation equations for South Asian skeletons based on DXA scans of contemporary adults								AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY				167	1			20	31				10.1002/ajpa.23596							Article	SEP 2018	2018										5	0	0	0	3	0	5			0002-9483	1096-8644											2018-09-13	WOS:000443379100002	29722435	
J	Reed, Charlotte C.; Ballantyne, Ashley P.; Cooper, Leila Annie; Sala, Anna				Reed, Charlotte C/ABC-3739-2020	Reed, Charlotte C/0000-0003-3280-9982; Smith, Annie/0000-0003-0578-9402			Limited evidence for CO2-related growth enhancement in northern Rocky Mountain lodgepole pine populations across climate gradients								GLOBAL CHANGE BIOLOGY				24	9			3922	3937				10.1111/gcb.14165							Article	SEP 2018	2018										24	1	0	0	17	0	25			1354-1013	1365-2486											2018-09-01	WOS:000441746900006	29658158	
J	Riris, Philip				Riris, Philip/AAH-6394-2020	Riris, Philip/0000-0003-4244-7495			Dates as data revisited: A statistical examination of the Peruvian preceramic radiocarbon record								JOURNAL OF ARCHAEOLOGICAL SCIENCE				97				67	76				10.1016/j.jas.2018.06.008							Article	SEP 2018	2018										14	0	0	0	3	1	14			0305-4403	1095-9238											2018-10-01	WOS:000445166000005		
J	Roach, Neil T.; Du, Andrew; Hatala, Kevin G.; Ostrofsky, Kelly R.; Reeves, Jonathan S.; Braun, David R.; Harris, John W. K.; Behrensmeyer, Anna K.; Richmond, Brian G.				Braun, David/C-9680-2009	Du, Andrew/0000-0002-7381-5089			Pleistocene animal communities of a 1.5 million-year-old lake margin grassland and their relationship to Homo erectus paleoecology								JOURNAL OF HUMAN EVOLUTION				122				70	83				10.1016/j.jhevol.2018.04.014							Article	SEP 2018	2018										11	0	0	0	5	0	11			0047-2484	1095-8606											2018-08-31	WOS:000441492900005	29970233	
J	Salgado, Jorge; Sayer, Carl D.; Brooks, Stephen J.; Davidson, Thomas A.; Goldsmith, Ben; Patmore, Ian R.; Baker, Ambroise G.; Okamura, Beth				Salgado, Jorge/HKE-6251-2023; Baker, Ambroise/AAA-3997-2020; Bonnet, Jorge Salgado/AAE-6294-2020	Salgado, Jorge/0000-0003-0670-0334; Baker, Ambroise/0000-0001-7196-1405; Bonnet, Jorge Salgado/0000-0003-0670-0334; Davidson, Thomas/0000-0003-2326-1564			Eutrophication homogenizes shallow lake macrophyte assemblages over space and time								ECOSPHERE				9	9					e02406			10.1002/ecs2.2406							Article	SEP 2018	2018										30	0	0	0	27	0	30			2150-8925												2018-09-01	WOS:000446834100017		
J	Thompson, Amy E.; Meredith, Clayton R.; Prufer, Keith M.				Thompson, Amy/GSE-1893-2022; Prufer, Keith/M-9877-2016	Thompson, Amy/0000-0002-3531-9244; Prufer, Keith/0000-0003-3173-1546			Comparing geostatistical analyses for the identification of neighborhoods, districts, and social communities in archaeological contexts: A case study from two ancient Maya centers in southern Belize								JOURNAL OF ARCHAEOLOGICAL SCIENCE				97				1	13				10.1016/j.jas.2018.06.012							Article	SEP 2018	2018										22	0	0	0	3	0	22			0305-4403	1095-9238											2018-10-01	WOS:000445166000001		
