PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Harrault, Loic; Milek, Karen; Jarde, Emilie; Jeanneau, Laurent; Derrien, Morgane; Anderson, David G.				Derrien, Morgane/AAV-7191-2020; Anderson, David G/E-6125-2014	Derrien, Morgane/0000-0002-4702-0821; Anderson, David G/0000-0002-9624-5867; Milek, Karen/0000-0002-8083-6240; Jarde, Emilie/0000-0001-8108-4055			Faecal biomarkers can distinguish specific mammalian species in modern and past environments								PLOS ONE				14	2					e0211119			10.1371/journal.pone.0211119							Article	FEB 7 2019	2019										42	0	0	0	20	0	42			1932-6203												2019-02-21	WOS:000458026000014	30730906	
J	Courtenay, Lloyd A.; Yravedra, Jose; Angel Mate-Gonzalez, Miguel; Aramendi, Julia; Gonzalez-Aguilera, Diego				Yravedra, Jose/E-9815-2016; yravedra, jose/ISA-3863-2023; Aramendi, Julia/ABC-2702-2021; Maté-González, Miguel Ángel/I-4466-2017; Yravedra, Jose/AAC-2073-2019	yravedra, jose/0000-0002-4323-3379; Maté-González, Miguel Ángel/0000-0001-5721-346X; Yravedra, Jose/0000-0002-4323-3379; Gonzalez-Aguilera, Diego/0000-0002-8949-4216; Aramendi, Julia/0000-0003-3725-3776			3D analysis of cut marks using a new geometric morphometric methodological approach								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				11	2	SI		651	665				10.1007/s12520-017-0554-x							Article	FEB 2019	2019										41	0	3	0	9	0	41			1866-9557	1866-9565											2019-03-01	WOS:000458608900016		
J	Denis, Solene; Gjesfjeld, Erik; Moreau, Luc				Denis, Solène/ABH-1086-2020; Denis, Solène/Z-1430-2018	Denis, Solène/0000-0001-7986-217X; Denis, Solène/0000-0001-7986-217X; Gjesfjeld, Erik/0000-0003-1043-9810			Post-Linear Pottery cultural boundary and repopulation of the German Rhineland: Revisiting the Western contacts hypothesis								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				23				946	952				10.1016/j.jasrep.2018.11.037							Article	FEB 2019	2019										3	0	0	0	0	0	3			2352-409X												2019-04-05	WOS:000462119900079		
J	Granato-Souza, Daniela; Maioli Campos Barbosa, Ana Carolina; Chaves, Henrique Ferreira				Barbosa, Ana Carolina Maioli Campos/AAI-9812-2020; Granato-Souza, Daniela/V-7533-2019	Granato-Souza, Daniela/0000-0002-7011-0892			Drivers of growth variability of Hymenaea stigonocarpa, a widely distributed tree species in the Brazilian Cerrado								DENDROCHRONOLOGIA				53				73	81				10.1016/j.dendro.2018.12.001							Article	FEB 2019	2019										3	0	0	0	2	1	3			1125-7865	1612-0051											2019-01-31	WOS:000456177200011		
J	Jetschke, Gottfried; van der Maaten, Ernst; van der Maaten-Theunissen, Marieke					van der Maaten, Ernst/0000-0002-5218-6682; Jetschke, Gottfried/0000-0001-5839-9163; van der Maaten-Theunissen, Marieke/0000-0002-2942-9180			Towards the extremes: A critical analysis of pointer year detection methods								DENDROCHRONOLOGIA				53				55	62				10.1016/j.dendro.2018.11.004							Review	FEB 2019	2019										31	0	0	0	20	0	31			1125-7865	1612-0051											2019-01-31	WOS:000456177200009		
J	Kaspar, Jakub; Tumajer, Jan; Treml, Vaclav				Tumajer, Jan/S-3397-2016; Vaclav, Treml/A-7508-2009; Tumajer, Jan/I-2053-2019; Kašpar, Jakub/E-6019-2017	Tumajer, Jan/0000-0002-7773-7081; Vaclav, Treml/0000-0001-5067-3308; Tumajer, Jan/0000-0002-7773-7081; Kašpar, Jakub/0000-0003-1780-6310			IncrementR: Analysing height growth of trees and shrubs in R								DENDROCHRONOLOGIA				53				48	54				10.1016/j.dendro.2018.11.001							Article	FEB 2019	2019										5	0	0	0	2	0	5			1125-7865	1612-0051											2019-02-01	WOS:000456177200008		
J	Kopec, A. Dianne; Kidd, Karen A.; Fisher, Nicholas S.; Bowen, Marcia; Francis, Corey; Payne, Kimberley; Bodaly, R. A.				Kidd, Karen/ABG-3237-2020	Kidd, Karen/0000-0002-5619-1358; Kopec, A. Dianne/0000-0002-1204-4276			Spatial and temporal trends of mercury in the aquatic food web of the lower Penobscot River, Maine, USA, affected by a chlor-alkali plant								SCIENCE OF THE TOTAL ENVIRONMENT				649				770	791				10.1016/j.scitotenv.2018.08.203							Article	FEB 1 2019	2019										12	1	0	0	7	0	13			0048-9697	1879-1026											2018-12-28	WOS:000446076500073	30176487	
J	Lyu, Lixin; Zhang, Qi-Bin; Pellatt, Marlow G.; Buntgen, Ulf; Li, Mai-He; Cherubini, Paolo				Zhang, Qi-Bin/A-7888-2008; Li, Mai-He/L-6390-2013; Lyu, Lixin/D-4976-2009; Pellatt, Marlow/AAU-6156-2021; buentgen, ulf/J-6952-2013	Li, Mai-He/0000-0002-7029-2841; Pellatt, Marlow/0000-0002-3925-461X; Lyu, Lixin/0000-0002-4996-7867			Drought limitation on tree growth at the Northern Hemisphere's highest tree line								DENDROCHRONOLOGIA				53				40	47				10.1016/j.dendro.2018.11.006							Article	FEB 2019	2019										21	4	0	0	14	0	24			1125-7865	1612-0051											2019-02-01	WOS:000456177200007		
J	Nava, Alessia; Frayer, David W.; Bondioli, Luca				Nava, Alessia/AAH-1754-2019	Nava, Alessia/0000-0002-6319-0425; Frayer, David W/0000-0003-2522-5794; Bondlioli, Luca/0000-0002-8511-7667			Longitudinal analysis of the microscopic dental enamel defects of children in the Imperial Roman community of Portus Romae (necropolis of Isola Sacra, 2nd to 4th century CE, Italy)								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				23				406	415				10.1016/j.jasrep.2018.11.007							Article	FEB 2019	2019										17	0	0	0	14	0	17			2352-409X												2019-04-05	WOS:000462119900035		
J	Pardo-Gordo, Salvador; Garcia Rivero, Daniel; Bernabeu Auban, Joan				Pardo-Gordó, Salvador/GYQ-8978-2022; García-Rivero, Daniel/K-1845-2014; bernabeu auban, joan/C-3126-2012	Pardo-Gordó, Salvador/0000-0002-1060-1526; García-Rivero, Daniel/0000-0002-6112-3181; bernabeu auban, joan/0000-0002-5742-8708			Evidences of branching and blending phenomena in the pottery decoration during the dispersal of the Early Neolithic across Western Europe								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				23				252	264				10.1016/j.jasrep.2018.10.021							Article	FEB 2019	2019										8	0	0	0	1	0	8			2352-409X												2019-04-05	WOS:000462119900023		
